tanggal,NAV,AUM
2006-04-17,1027.98,7100.22
2006-05-01,1117.02,8086.64
2006-05-15,1092.16,10310.0
2006-05-29,1015.02,12230.0
2006-06-12,953.39,11970.0
2006-06-26,979.21,12820.0
2006-07-10,1021.2,14030.0
2006-07-21,NA,13960.0
2006-07-24,1009.24,NA
2006-08-04,NA,15397.2
2006-08-07,1078.2,NA
2006-08-22,1112.36,16160.0
2006-09-01,NA,16170.000000000002
2006-09-04,1117.64,NA
2006-09-15,NA,16930.0
2006-09-18,1111.51,NA
2006-09-29,NA,17800.0
2006-10-02,1130.16,NA
2006-10-13,NA,13685.7
2006-10-16,1137.24,NA
2006-10-30,1155.2,18110.0
2006-11-10,NA,19810.0
2006-11-13,1209.41,NA
2006-11-24,NA,23530.0
2006-11-27,1267.45,NA
2006-12-08,NA,26960.0
2006-12-11,1308.81,NA
2006-12-22,NA,28280.0
2006-12-26,1316.2,NA
2007-01-05,NA,31090.0
2007-01-08,1322.19,NA
2007-01-19,NA,32720.0
2007-01-22,1321.61,NA
2007-02-02,NA,32610.0
2007-02-05,1276.45,NA
2007-02-16,NA,33990.0
2007-02-19,1306.89,NA
2007-03-02,NA,33880.0
2007-03-05,1229.59,NA
2007-03-16,NA,35160.0
2007-03-20,1293.07,NA
2007-03-29,NA,36320.0
2007-04-02,1356.13,NA
2007-04-12,NA,36550.0
2007-04-16,1452.06,NA
2007-04-26,NA,29590.0
2007-04-30,1469.94,NA
2007-05-10,NA,31190.0
2007-05-14,1464.84,NA
2007-05-24,NA,33480.0
2007-05-28,1469.74,NA
2007-06-07,NA,33180.0
2007-06-11,1474.19,NA
2007-06-21,NA,34780.0
2007-06-25,1538.76,NA
2007-07-05,NA,38980.0
2007-07-09,1620.42,NA
2007-07-19,NA,42160.0
2007-07-23,1699.25,NA
2007-08-02,NA,58110.0
2007-08-06,1558.44,NA
2007-08-16,NA,51880.0
2007-08-20,1485.17,NA
2007-08-30,NA,60450.0
2007-09-04,1614.1,NA
2007-09-13,NA,65090.0
2007-09-18,1633.27,NA
2007-09-27,NA,74590.0
2007-10-02,1805.89,NA
2007-10-11,NA,95460.0
2007-10-18,1955.77,NA
2007-10-25,NA,80590.0
2007-10-30,1998.29,NA
2007-11-07,NA,88280.0
2007-11-13,2020.35,NA
2007-11-21,NA,105580.0
