tanggal,data
2024-10-03,999.97
2024-10-04,999.98
2024-10-07,1000.01
2024-10-08,1000.09
2024-10-09,1000.17
2024-10-10,1000.25
2024-10-11,1000.34
2024-10-14,1001.13
2024-10-15,1001.2
2024-10-16,1001.18
2024-10-17,1001.25
2024-10-18,1001.4
2024-10-21,1001.88
2024-10-22,1001.96
2024-10-23,1002.04
2024-10-24,1002.08
2024-10-25,1002.2
2024-10-28,1002.5
2024-10-29,1002.61
2024-10-30,1002.63
2024-10-31,1002.49
2024-11-01,1002.45
2024-11-04,1002.64
2024-11-05,1002.82
2024-11-06,1002.9
2024-11-07,1002.95
2024-11-08,1003.25
2024-11-11,1003.65
2024-11-12,1003.79
2024-11-13,1003.87
2024-11-14,1003.99
2024-11-15,1004.17
2024-11-18,1004.45
2024-11-19,1004.58
2024-11-20,1004.66
2024-11-21,1004.6
2024-11-22,1004.66
2024-11-25,1005.16
2024-11-26,1005.27
2024-11-28,1005.35
2024-11-29,1005.32
2024-12-02,1005.42
2024-12-03,1005.44
2024-12-04,1005.37
2024-12-05,1005.2
2024-12-06,1005.21
2024-12-09,1005.58
2024-12-10,1005.69
2024-12-11,1005.89
2024-12-12,1006.02
2024-12-13,1006.22
2024-12-16,1006.58
2024-12-17,1006.68
2024-12-18,1006.78
2024-12-19,1006.72
2024-12-20,1006.83
2024-12-23,1007.12
2024-12-24,1007.11
2024-12-27,1007.49
2024-12-30,1007.88
2025-01-02,1008.28
2025-01-03,1008.41
2025-01-06,1008.95
2025-01-07,1009.19
2025-01-08,1009.53
2025-01-09,1009.67
2025-01-10,1009.83
2025-01-13,1010.22
2025-01-14,1010.49
2025-01-15,1010.62
2025-01-16,1010.99
2025-01-17,1011.55
2025-01-20,1012.33
2025-01-21,1012.51
2025-01-22,1012.78
2025-01-23,1013.04
2025-01-24,1013.37
2025-01-30,1014.21
